,name,url,views,comments
1188,Монетизация мобильного приложения с помощью рекламы,https://www.gb.ru/posts/mobile_app_ads,70007,4
1189,Факультатив по JS React-разработке от Альфа-Банка,https://www.gb.ru/posts/js_react_optional_course,13529,91
1190,"Рекорды ИИ, новая разработка Google и хороший прогноз от HR",https://www.gb.ru/posts/it_news_digest,8958,2
1191,7 причин изучить Swift,https://www.gb.ru/posts/reasons_to_swift,36432,5
1192,11 популярных веб-конструкторов,https://www.gb.ru/posts/web_builders,17683,25
1193,Ищем работу: 22 телеграм-канала и 3 чата в помощь,https://www.gb.ru/posts/find_a_job_in_telegram,164726,35
1194,Развиртуализация: оффлайн-встреча со студентами GU ,https://www.gb.ru/posts/devirtualization,8914,41
1195,От оффера до рабочего стола,https://www.gb.ru/posts/job_offer,33717,28
1196,"Законы программирования, о которых вы, возможно, не слышали",https://www.gb.ru/posts/exploring_the_laws_of_code,34056,26
1197,7 способов оставаться счастливым на работе,https://www.gb.ru/posts/ways_to_happiness,7658,8
1198,"Подарок, которого хватит на целый год",https://www.gb.ru/posts/diaries_2018,11416,7
1199,Как я ушел из продаж и стал программистом за 1 год,https://www.gb.ru/posts/salesman_2_coder,88,0
1200,Хочу всё знать: язык Alice,https://www.gb.ru/posts/alice_lang,16315,5
1201,"10 профессий, где роботы уже заменили человека",https://www.gb.ru/posts/ai_vs_human,64138,36
1202,Что студенты GeekUniversity загадают на следующий год? ,https://www.gb.ru/posts/2018_make_a_wish,5366,7
1203,Завтра любой человек сможет создать мобильное приложение,https://www.gb.ru/posts/granny_soon,10665,19
1204,История языков программирования: 1950-е,https://www.gb.ru/posts/language_history_part1,49661,4
1205,Семь дней после Нового года: как пережить январский застой,https://www.gb.ru/posts/survive_the_holidays,11519,8
1206,Хочу всё знать. Язык Go,https://www.gb.ru/posts/go_lang,12293,10
1207,"Upgrade your life: 10 книг, которые вам в этом помогут",https://www.gb.ru/posts/self_upgrade_10_book_in_10_months,20560,3
1208,Топ-10 интернет-мемов 2017 года,https://www.gb.ru/posts/memes_2017,33258,9
1209,Читай PEP 8  —  пиши код как ван Россум,https://www.gb.ru/posts/pep8,51676,5
1210,GeekUniversity: факультатив Avito по Core Data,https://www.gb.ru/posts/coredata_avito_course,6573,0
1211,GeekBrains: 2017 год в цифрах,https://www.gb.ru/posts/geek_review_2017,6289,17
1212,"Гаджеты, которые повышают производительность программиста",https://www.gb.ru/posts/geek_gadgets,21799,15
1213,"Наследие Тьюринга: машина, тест и полнота",https://www.gb.ru/posts/about_turing,16612,16
1214,Побудь Дедом Морозом или Снегурочкой!,https://www.gb.ru/posts/father_frost_competition,8245,24
1215,Топ-10 сериалов для айтишников. Часть 2,https://www.gb.ru/posts/geek_series_2,49668,34
1216,Как устанавливать пакеты в Python — с PIP и без,https://www.gb.ru/posts/python_packages,372001,3
1217,"7 технологий, которые могут прийти на смену паспортам",https://www.gb.ru/posts/instead_of_id,5338,4
1218,300 страниц комикса о приключениях Ады Лавлейс,https://www.gb.ru/posts/ada_lovelace_comics,13814,9
1219,"Гороскоп программистов: что ждёт питонистов, что — джавистов",https://www.gb.ru/posts/geek_horoscope,27618,36
1220,Топ-10 сериалов для айтишников. Часть 1,https://www.gb.ru/posts/geek_series,255437,61
1221,Быстрая сортировка в Python,https://www.gb.ru/posts/python_sort,177663,7
1222,Запускаем Конкурс диванных экспертов!,https://www.gb.ru/posts/armchair_experts_competition,4516,1
1223,"10 TED-выступлений, которые должен посмотреть каждый",https://www.gb.ru/posts/10_ted_videos,16302,4
1224, 7 соревновательных площадок для прокачки знаний по Swift,https://www.gb.ru/posts/swift_coder_resources,29179,6
1225,Мне хочется попробовать все! #яжедевочка,https://www.gb.ru/posts/enjoy_coding,83,0
1226,"Я б в фронтендеры пошел, пусть меня научат…",https://www.gb.ru/posts/become_a_frontender,21880,23
1227,"Про игры, стартап и карьеру: о чем говорили на GeekWeek 2017",https://www.gb.ru/posts/geekweek2017_summing_up,8603,1
1228,Как не сделать ваше приложение ужасным на вид,https://www.gb.ru/posts/apps_design_guide,6711,1
1229,Интервью с геймдев-леди: как превратить хобби в бизнес,https://www.gb.ru/posts/lady_gamedev,10746,16
1230,Интерфейсы в Java и немного о полиморфизме,https://www.gb.ru/posts/java_interfaces,51418,10
1231,Многопоточное программирование и его проблемы,https://www.gb.ru/posts/multithreading_series,28688,4
1232,GeekUniversity: блокчейн-факультатив от РосЕвроБанка,https://www.gb.ru/posts/blockchain_studies,8671,14
1233,Профессиональная верстка: увеличиваем скорость работы вдвое,https://www.gb.ru/posts/web_development_boost,7858,3
1234,Округление в Java,https://www.gb.ru/posts/java_round,75606,15
1235,За что мы платим GB,https://www.gb.ru/posts/why_pay_gb,9892,108
1236,GeekWeek: следите за курсом криптовалют в своём приложении,https://www.gb.ru/posts/bitcoin_monitor,6659,0
1237,Аннотации в Java. Не путать с комментариями,https://www.gb.ru/posts/java_annotations,53924,5
1238,Искусственный интеллект наступает: домашний ИИ на Питоне,https://www.gb.ru/posts/create_ai,12588,8
1239,Ждём Junior'ов: создаем ленту с автоподгрузкой записей,https://www.gb.ru/posts/timeline,6915,2
1240,Методы Java — как вызывать и использовать,https://www.gb.ru/posts/java_methods,270462,10
1241,Подключение библиотек в Java,https://www.gb.ru/posts/java_libs,64081,9
1242,Профессия Java-разработчик: 6 распространённых мифов,https://www.gb.ru/posts/6_myths,25702,14
1243,5 способов повышения качества кода,https://www.gb.ru/posts/5_ways_to_enchance,9786,5
1244,Константы в Java,https://www.gb.ru/posts/java_const,45799,21
1245,Обзор IT-профессий на GeekWeek-2017: кем быть?,https://www.gb.ru/posts/it_professions,10175,7
1246,Знакомимся с IT-миром на GeekWeek-2017,https://www.gb.ru/posts/choose_your_path,6548,1
1247,Зарплата java разработчика,https://www.gb.ru/posts/java_salary,40321,10
1248,Фабрики в Swift,https://www.gb.ru/posts/swift_factory,5114,0
1249,Как работает JavaScript: часть вторая,https://www.gb.ru/posts/javascript_internals_part2,11329,4
1250,11 причин связать свою жизнь с программистом,https://www.gb.ru/posts/marry_reasons,20425,41
1251,Пять наиболее раздражающих аспектов CSS,https://www.gb.ru/posts/css_annoying_things,5857,3
1252,Создание и удаление объектов Java — основы,https://www.gb.ru/posts/java_constructors,28146,21
1253,Как работает JavaScript: часть первая,https://www.gb.ru/posts/javascript_internals_part1,33700,5
1254,Что вас ждет на GeekWeek-2017?,https://www.gb.ru/posts/geekweek-2017,4819,3
1255,Глубокое обучение: быстрый старт для разработчиков,https://www.gb.ru/posts/deep_learning_guide,32434,2
1256,Анимируй это: WAAPI,https://www.gb.ru/posts/waapi_introduction,5003,0
1257,Переменные в Java,https://www.gb.ru/posts/java_vars,20664,11
1258,Измеряем производительность веб-приложений,https://www.gb.ru/posts/what_is_pwm,12546,2
1259,Кто такой манки-кликер и почему в тестировании ждут девушек,https://www.gb.ru/posts/software_%20tester,17827,35
1260,Библиотека Numpy,https://www.gb.ru/posts/python_numpy,23253,9
1261,Python или Ruby,https://www.gb.ru/posts/python_vs_ruby,25655,8
1262,Стратегия загрузки шрифтов в eBay,https://www.gb.ru/posts/ebay_font_loading,5108,0
1263,Срываем покровы: кто преподает на GeekBrains?,https://www.gb.ru/posts/whois_prepod_1,12032,14
1264,8 трюков для ускорения JavaScript,https://www.gb.ru/posts/javascript_performance_hacks,18205,0
1265,Переход от нетехнической роли к инженерной,https://www.gb.ru/posts/path_to_engineering_role,3325,1
1266, Циклы в Java – как создать и прервать,https://www.gb.ru/posts/java_cycles,92538,12
1267,Установка и настройка NetBeans,https://www.gb.ru/posts/netbeans_setup,77484,3
1268,Установка и настройка IntelliJ IDEA,https://www.gb.ru/posts/intellij_idea_setup,162639,36
1269,"Создавать, создавать и еще раз создавать! ",https://www.gb.ru/posts/create_and_create,45,0
1270,Почему комментарии в коде — зло,https://www.gb.ru/posts/bad_comments,11199,6
1271,Визуализируй это,https://www.gb.ru/posts/vizualize_it,10284,4
1272,"Программируйте алгоритмами, а не словами",https://www.gb.ru/posts/programming_with_concept,12445,6
1273,Хочу всё знать. Языки управления шейдерами,https://www.gb.ru/posts/how_to_shaders,15640,4
1274,Python на стероидах: бинарные native-расширения,https://www.gb.ru/posts/how_to_native_python,8408,1
1275,DevOps как образ жизни,https://www.gb.ru/posts/how_to_devops,7211,1
1276,Преимущества сторонних проектов,https://www.gb.ru/posts/side_projects,3614,2
